id,id_client,id_product,qtd,total,sale_date,product_id,start_date,usd_price,product_name,data_cambio,cotacaoVenda,custo_unit_brl,custo_total_brl,resultado,prejuizo,teve_prejuizo
1230,17,91,4,512566.8,2023-01-01,91,2022-03-16,26303.31,Motor Elétrico Tohatsu Zenith Oceanic 113HP,2022-12-30,5.2177,137242.78058700002,548971.1223480001,-36404.322348000074,36404.322348000074,True
2300,30,95,9,596858.4,2023-01-01,95,2022-11-23,12945.63,Motor Diesel Honda Leviathan 133HP,2022-12-30,5.2177,67546.413651,607917.722859,-11059.322858999949,11059.322858999949,True
3131,28,130,13,53873.0,2023-01-01,130,2021-03-22,749.89,Boia de Arqueamento Delta Zen Boost Vortex,2022-12-30,5.2177,3912.701053,50865.113689,3007.886311000002,0.0,False
4212,9,96,6,402538.75,2023-01-01,96,2022-09-30,13063.42,Motor de Popa Tohatsu Boost Swift 126HP,2022-12-30,5.2177,68161.006534,408966.03920400003,-6427.28920400003,6427.28920400003,True
4294,7,44,5,51332.3,2023-01-01,44,2022-01-17,1963.02,GPS Simrad Zen Hydra Peak,2022-12-30,5.2177,10242.449454,51212.24727,120.05273000000307,0.0,False
4997,23,133,1,1893.0,2023-01-01,133,2022-07-06,348.47,Âncora Bruce Core Pulse,2022-12-30,5.2177,1818.211919,1818.211919,74.78808099999992,0.0,False
3549,10,53,13,662886.25,2023-01-01,53,2022-07-19,9958.63,Motor Elétrico Torqeedo Zen Titan Hydra 129HP,2022-12-30,5.2177,51961.143750999996,675494.868763,-12608.618763000006,12608.618763000006,True
5256,19,78,12,1461139.0,2023-01-01,78,2022-10-14,23053.04,Motor Elétrico Honda Mako Axis 131HP,2022-12-30,5.2177,120283.846808,1443406.161696,17732.838303999975,0.0,False
666,14,15,5,132524.05,2023-01-01,15,2022-12-06,5325.4,Radar Garmin Tidal Thrust,2022-12-30,5.2177,27786.339579999996,138931.69789999997,-6407.647899999982,6407.647899999982,True
7765,30,22,2,74960.7,2023-01-01,22,2022-08-22,7630.67,Transponder Furuno Force Ion,2022-12-30,5.2177,39814.546859,79629.093718,-4668.393718000007,4668.393718000007,True
8211,14,67,3,257367.0,2023-01-01,67,2022-06-17,16720.73,Motor de Popa Yamaha Mako 108HP,2022-12-30,5.2177,87243.75292099999,261731.25876299996,-4364.258762999962,4364.258762999962,True
