id,sale_date,id_product,qtd,total,custo_total_reais,prejuizo_transacao
1230,2023-01-01,91,4,512566.8,548971.1223480001,36404.322348000074
2300,2023-01-01,95,9,596858.4,607917.722859,11059.322858999949
4212,2023-01-01,96,6,402538.75,408966.03920400003,6427.28920400003
3549,2023-01-01,53,13,662886.25,675494.868763,12608.618763000006
666,2023-01-01,15,5,132524.05,138931.69789999997,6407.647899999982
7765,2023-01-01,22,2,74960.7,79629.093718,4668.393718000007
8211,2023-01-01,67,3,257367.0,261731.25876299996,4364.258762999962
3477,2023-01-02,46,2,9469.6,10249.131672000001,779.531672000001
8092,2023-01-02,55,8,879898.0,997162.3561920001,117264.3561920001
6459,2023-01-02,91,8,1079088.0,1124434.9385280001,45346.938528000144
4286,2023-01-02,18,7,176706.65,180832.82103600004,4126.171036000043
7082,2023-01-02,140,6,17866.65,18814.067496,947.4174959999982
663,2023-01-02,147,9,25907.45,28479.838356000004,2572.388356000003
4770,2023-01-02,124,4,14326.0,15371.613504,1045.6135040000008
3932,2023-01-02,125,9,29088.05,30320.334504000002,1232.284504000003
7777,2023-01-02,25,11,126721.45,140445.62505600002,13724.175056000022
4996,2023-01-02,29,9,328593.0,369812.761812,41219.76181200001
5121,2023-01-02,61,11,308205.0,327069.09166800004,18864.091668000037
5239,2023-01-02,48,14,206309.0,212165.286816,5856.286816000007
9643,2023-01-02,65,14,357808.0,374699.85806400003,16891.85806400003
4034,2023-01-02,86,8,710775.75,761988.3827520001,51212.63275200012
2602,2023-01-02,115,8,6312.75,6718.828896,406.078896
7899,2023-01-02,78,7,809714.45,862303.5718080001,52589.12180800014
9894,2023-01-03,26,15,259248.0,275209.52388,15961.523879999993
1727,2023-01-03,72,14,1395305.0,2308716.381048,913411.381048
7226,2023-01-03,26,1,17283.0,18347.301592,1064.3015919999998
3291,2023-01-03,74,10,865586.0,1196190.97141,330604.97141
6966,2023-01-03,74,15,1298378.0,1794286.457115,495908.4571150001
8172,2023-01-03,72,12,1136177.2,1978899.755184,842722.5551839999
8378,2023-01-03,36,15,339021.0,340395.26812499994,1374.2681249999441
1767,2023-01-03,1,1,33123.0,35148.70938,2025.7093800000002
2622,2023-01-03,116,11,26914.45,29699.912175999998,2785.4621759999973
8897,2023-01-03,5,12,284028.0,317444.09953199996,33416.099531999964
9975,2023-01-03,8,15,71023.9,76695.27734999999,5671.377349999995
4010,2023-01-03,63,13,1728477.5,1930140.6647379997,201663.16473799967
1832,2023-01-03,56,1,42989.0,43478.075080999995,489.0750809999954
1384,2023-01-04,57,11,1306696.0,1347727.860171,41031.86017100001
9581,2023-01-04,2,15,199473.4,210529.23596999998,11055.835969999986
6905,2023-01-04,106,12,49987.1,54702.540647999995,4715.440647999996
306,2023-01-04,70,6,206133.0,217456.747524,11323.747524000006
8343,2023-01-04,20,8,234334.6,247855.543488,13520.94348799999
2017,2023-01-04,92,1,88854.0,91196.87802300001,2342.878023000012
472,2023-01-04,56,7,285874.95,308309.44466700003,22434.49466700002
7677,2023-01-04,61,13,364242.0,393936.20171099994,29694.201710999943
6768,2023-01-04,11,4,144928.0,146686.40568,1758.4056799999962
9228,2023-01-04,15,7,195298.0,203011.17101999998,7713.17101999998
5938,2023-01-04,81,11,1276451.35,1398485.281941,122033.93194099981
4874,2023-01-04,5,1,23669.0,26798.130261,3129.1302609999984
631,2023-01-04,15,2,55800.0,58003.191719999995,2203.1917199999953
727,2023-01-05,19,3,46832.15,51270.944129999996,4438.794129999995
9792,2023-01-05,12,8,21809.0,22819.285776,1010.2857760000006
9786,2023-01-05,50,14,149970.8,164857.853804,14887.053804000025
7582,2023-01-05,89,6,472068.0,480798.5521919999,8730.552191999916
7309,2023-01-05,22,13,487242.65,535930.950646,48688.30064599996
4226,2023-01-05,49,7,92850.0,99348.4114,6498.411399999997
1248,2023-01-05,148,10,45463.2,48728.750700000004,3265.550700000007
5135,2023-01-05,98,4,317445.0,329838.022472,12393.022471999982
6821,2023-01-05,56,15,644832.0,655410.20601,10578.206009999965
8334,2023-01-05,40,3,42552.0,44692.19810999999,2140.1981099999903
6752,2023-01-05,86,15,1332704.65,1444503.15681,111798.50681000017
1098,2023-01-05,27,5,78429.15,82422.87599,3993.7259900000063
6014,2023-01-05,142,10,8264.0,8649.02234,385.02233999999953
4929,2023-01-05,73,11,1496021.05,1628816.0973699999,132795.0473699998
4478,2023-01-05,46,6,29903.0,31086.884555999997,1183.8845559999972
2113,2023-01-05,121,11,40637.0,42690.53481,2053.5348099999974
2686,2023-01-05,108,7,23419.0,24713.059154000002,1294.0591540000023
6572,2023-01-05,66,3,35829.25,38255.108261999994,2425.8582619999943
8521,2023-01-06,146,7,3472.0,3663.5914699999994,191.5914699999994
1708,2023-01-06,19,4,62442.55,66879.5457,4436.9956999999995
1503,2023-01-06,32,8,95019.0,109332.04744,14313.047439999995
9377,2023-01-06,18,9,227194.4,229971.417885,2777.0178850000084
2729,2023-01-06,105,10,3095.0,3126.3732499999996,31.373249999999643
4730,2023-01-07,35,8,83641.8,92988.01292000001,9346.212920000005
7501,2023-01-07,142,2,1570.35,1692.31139,121.96139000000016
9652,2023-01-07,113,6,25051.5,25861.9515,810.4514999999992
9555,2023-01-07,110,6,14973.0,15096.33939,123.33938999999918
9129,2023-01-07,32,10,118773.75,136665.0593,17891.309299999994
5434,2023-01-07,18,4,100975.5,102209.51906,1234.019060000006
