SUMÁRIO DE FALHAS FINANCEIRAS
==============================

Quantidade de produtos que apresentaram prejuízo: 150

ID do Produto | Prejuízo Total (R$)
-----------------------------------
ID: 72         | R$ 39,821,041.68
ID: 83         | R$ 18,614,294.87
ID: 74         | R$ 6,716,610.31
ID: 71         | R$ 6,070,816.06
ID: 55         | R$ 5,371,141.28
ID: 91         | R$ 4,883,920.30
ID: 63         | R$ 4,848,430.38
ID: 78         | R$ 4,171,484.51
ID: 60         | R$ 3,183,627.92
ID: 73         | R$ 2,988,373.67
ID: 96         | R$ 2,762,319.57
ID: 67         | R$ 2,606,660.02
ID: 97         | R$ 2,602,385.33
ID: 98         | R$ 2,566,612.50
ID: 80         | R$ 2,526,438.01
ID: 54         | R$ 2,438,968.14
ID: 57         | R$ 2,433,415.54
ID: 100        | R$ 2,262,425.82
ID: 62         | R$ 2,257,763.15
ID: 99         | R$ 2,163,691.49
ID: 88         | R$ 2,155,580.42
ID: 81         | R$ 2,132,144.20
ID: 87         | R$ 2,087,688.02
ID: 68         | R$ 1,882,050.38
ID: 77         | R$ 1,825,325.53
ID: 64         | R$ 1,800,229.25
ID: 29         | R$ 1,726,751.81
ID: 86         | R$ 1,619,909.64
ID: 85         | R$ 1,558,769.94
ID: 76         | R$ 1,508,559.23
ID: 93         | R$ 1,390,438.11
ID: 11         | R$ 1,384,159.11
ID: 59         | R$ 1,352,433.13
ID: 90         | R$ 1,339,415.82
ID: 84         | R$ 1,292,232.63
ID: 53         | R$ 1,187,002.56
ID: 51         | R$ 1,174,753.07
ID: 30         | R$ 1,174,656.76
ID: 94         | R$ 1,162,312.58
ID: 5          | R$ 1,031,771.40
ID: 22         | R$ 1,017,679.50
ID: 36         | R$ 976,343.05
ID: 89         | R$ 945,292.48
ID: 31         | R$ 938,985.42
ID: 65         | R$ 907,170.25
ID: 18         | R$ 896,579.70
ID: 82         | R$ 870,785.54
ID: 10         | R$ 828,731.37
ID: 69         | R$ 826,811.35
ID: 56         | R$ 814,990.95
ID: 58         | R$ 804,097.40
ID: 2          | R$ 742,843.56
ID: 92         | R$ 725,859.45
ID: 47         | R$ 686,056.83
ID: 9          | R$ 677,102.53
ID: 38         | R$ 672,674.07
ID: 26         | R$ 653,384.86
ID: 19         | R$ 652,347.56
ID: 14         | R$ 622,932.40
ID: 40         | R$ 586,751.68
ID: 50         | R$ 563,586.97
ID: 95         | R$ 531,308.27
ID: 16         | R$ 530,372.38
ID: 1          | R$ 469,873.23
ID: 79         | R$ 465,515.93
ID: 15         | R$ 454,977.06
ID: 28         | R$ 433,002.36
ID: 17         | R$ 427,826.73
ID: 61         | R$ 414,707.47
ID: 23         | R$ 404,835.08
ID: 44         | R$ 375,823.54
ID: 32         | R$ 359,817.47
ID: 42         | R$ 333,495.80
ID: 48         | R$ 332,403.84
ID: 3          | R$ 286,451.01
ID: 25         | R$ 283,524.71
ID: 70         | R$ 271,391.49
ID: 75         | R$ 260,342.07
ID: 136        | R$ 252,752.84
ID: 20         | R$ 243,389.76
ID: 45         | R$ 239,058.93
ID: 49         | R$ 229,753.46
ID: 39         | R$ 218,339.72
ID: 33         | R$ 216,728.89
ID: 35         | R$ 215,183.04
ID: 106        | R$ 204,192.28
ID: 108        | R$ 184,430.10
ID: 52         | R$ 180,713.78
ID: 46         | R$ 171,345.33
ID: 34         | R$ 166,627.90
ID: 43         | R$ 164,419.99
ID: 6          | R$ 154,369.60
ID: 37         | R$ 153,528.19
ID: 66         | R$ 151,910.56
ID: 134        | R$ 149,743.41
ID: 141        | R$ 147,451.54
ID: 143        | R$ 139,821.98
ID: 111        | R$ 137,849.28
ID: 27         | R$ 133,151.13
ID: 138        | R$ 130,281.21
ID: 7          | R$ 126,479.91
ID: 120        | R$ 124,689.65
ID: 119        | R$ 124,376.17
ID: 118        | R$ 121,378.58
ID: 145        | R$ 121,369.46
ID: 148        | R$ 118,699.05
ID: 21         | R$ 115,931.34
ID: 117        | R$ 108,538.86
ID: 8          | R$ 108,307.93
ID: 104        | R$ 106,240.22
ID: 109        | R$ 102,061.31
ID: 137        | R$ 100,792.96
ID: 129        | R$ 100,054.15
ID: 4          | R$ 96,849.33
ID: 102        | R$ 96,499.71
ID: 140        | R$ 91,291.50
ID: 121        | R$ 84,663.11
ID: 147        | R$ 81,569.70
ID: 130        | R$ 80,081.71
ID: 116        | R$ 74,237.96
ID: 41         | R$ 72,976.50
ID: 24         | R$ 72,349.89
ID: 107        | R$ 71,443.04
ID: 122        | R$ 70,730.06
ID: 132        | R$ 63,533.90
ID: 144        | R$ 47,875.40
ID: 128        | R$ 45,576.05
ID: 125        | R$ 44,946.49
ID: 133        | R$ 44,527.68
ID: 135        | R$ 43,493.88
ID: 112        | R$ 36,993.27
ID: 124        | R$ 35,207.20
ID: 12         | R$ 34,045.50
ID: 150        | R$ 31,185.26
ID: 110        | R$ 30,584.44
ID: 103        | R$ 29,896.01
ID: 115        | R$ 27,268.04
ID: 13         | R$ 26,811.63
ID: 127        | R$ 26,680.31
ID: 113        | R$ 26,543.70
ID: 142        | R$ 26,222.22
ID: 123        | R$ 25,556.70
ID: 149        | R$ 24,490.75
ID: 131        | R$ 20,036.48
ID: 114        | R$ 15,165.91
ID: 101        | R$ 11,779.99
ID: 146        | R$ 10,829.54
ID: 126        | R$ 7,634.69
ID: 105        | R$ 5,110.18
ID: 139        | R$ 4,549.02
